12840635John      Taylor    132260370722546Maisonneuve West, Montreal, QC, H3G 1M8                  
13133141David     Jones     199264422245572University Ave, Toronto, ON, M5J 2H7                     
13205809Michael   Moore     213281389330919University Ave, Toronto, ON, M5J 2H7                     
13226719Ashley    Wilson    190252348483534University Ave, Toronto, ON, M5J 2H7                     
13246494Ashley    Smith     175235351706561King St W, Hamilton, ON, L8P 1B1                         
13978228Michael   Smith     183279358389538Maisonneuve West, Montreal, QC, H3G 1M8                  
14071278Emily     Miller    147249388302503University Ave, Toronto, ON, M5J 2H7                     
14167511John      Miller    210265442008341Maisonneuve West, Montreal, QC, H3G 1M8                  
14167511John      Miller    210265442008341Maisonneuve West, Montreal, QC, H3G 1M8                  
14503250John      Wilson    140325375665586Maisonneuve West, Montreal, QC, H3G 1M8                  
15106013Ashley    Taylor    158316434773974King St W, Hamilton, ON, L8P 1B1                         
15343486Jessica   Davis     219249366841114University Ave, Toronto, ON, M5J 2H7                     
15602908Jacob     Davis     125316412701400University Ave, Toronto, ON, M5J 2H7                     
15658377Jacob     Wilson    134226432797289King St W, Hamilton, ON, L8P 1B1                         
15949239David     Smith     119318400289464Robson St, Vancouver, BC, V6B 2B7                        
15972027Emily     Moore     112268344330329University Ave, Toronto, ON, M5J 2H7                     
16290244Emily     Wilson    185322382391850Maisonneuve West, Montreal, QC, H3G 1M8                  
16438355Ashley    Williams  157231413013485King St W, Hamilton, ON, L8P 1B1                         
16856837Sarah     Brown     129294432269908Robson St, Vancouver, BC, V6B 2B7                        
16895598Madison   Johnson   193234385381286Maisonneuve West, Montreal, QC, H3G 1M8                  
16928672Ashley    Jones     168286344712930University Ave, Toronto, ON, M5J 2H7                     
17009227Joshua    Taylor    205251390341392University Ave, Toronto, ON, M5J 2H7                     
17078258John      Brown     219280395502783Robson St, Vancouver, BC, V6B 2B7                        
17605569Sarah     Taylor    164233426195992Maisonneuve West, Montreal, QC, H3G 1M8                  
17844132Michael   Wilson    163307353822382King St W, Hamilton, ON, L8P 1B1                         
17878348Ashley    Johnson   117271419397862Maisonneuve West, Montreal, QC, H3G 1M8                  
18126200Madison   Taylor    206241353405771Robson St, Vancouver, BC, V6B 2B7                        
18137169Ashley    Miller    135261340311281Maisonneuve West, Montreal, QC, H3G 1M8                  
18817683Jacob     Johnson   200292391070240Maisonneuve West, Montreal, QC, H3G 1M8                  
18940647John      Williams  127278411684083University Ave, Toronto, ON, M5J 2H7                     
19072379Ashley    Jones     168312433089191Maisonneuve West, Montreal, QC, H3G 1M8                  
19099165Jacob     Brown     131270371247576Maisonneuve West, Montreal, QC, H3G 1M8                  
19849616Michael   Taylor    207269374566781Maisonneuve West, Montreal, QC, H3G 1M8                  
20318837Madison   Smith     119279373615483Maisonneuve West, Montreal, QC, H3G 1M8                  
20365410David     Williams  196265401456406King St W, Hamilton, ON, L8P 1B1                         
20497868Michael   Johnson   208223439805873Robson St, Vancouver, BC, V6B 2B7                        
21061617Joshua    Taylor    204308360136079Robson St, Vancouver, BC, V6B 2B7                        
21606970Jacob     Davis     173268419149160University Ave, Toronto, ON, M5J 2H7                     
21824629Sarah     Moore     137261337389004King St W, Hamilton, ON, L8P 1B1                         
22022005Michael   Smith     123283352705993University Ave, Toronto, ON, M5J 2H7                     
